#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 03 03 00 217  2.2 99.0 99.00 99.00 99.00 999 1017.0  23.4  24.0  19.7 99.0 99.00
2012 01 03 04 00 208  2.6 99.0 99.00 99.00 99.00 999 1018.0  23.3  23.9  19.9 99.0 99.00
2012 01 03 05 00 208  2.6 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.9  19.9 99.0 99.00
2012 01 03 06 00 214  2.2 99.0 99.00 99.00 99.00 999 1018.0  23.3  23.8  19.9 99.0 99.00
2012 01 03 07 00 180  3.5 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  20.1 99.0 99.00
2012 01 03 08 00 186  3.3 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  20.1 99.0 99.00
2012 01 03 09 00 187  3.4 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  20.2 99.0 99.00
2012 01 03 10 00 186  3.3 99.0 99.00 99.00 99.00 999 1018.0  23.1  23.7  20.3 99.0 99.00
2012 01 03 11 00 204  2.5 99.0 99.00 99.00 99.00 999 1018.0  23.1  23.7  20.5 99.0 99.00
2012 01 03 12 00 247  2.8 99.0 99.00 99.00 99.00 999 1018.0  23.1  23.6  20.3 99.0 99.00
2012 01 03 13 00 236  3.0 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.6  20.2 99.0 99.00
2012 01 03 14 00 229  3.5 99.0 99.00 99.00 99.00 999 1017.0  23.1  23.6  20.2 99.0 99.00
2012 01 03 15 00 263  2.8 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.6  20.0 99.0 99.00
2012 01 03 16 00 280  2.6 99.0 99.00 99.00 99.00 999 1019.0  23.2  23.5  20.0 99.0 99.00
2012 01 03 17 00 309  2.5 99.0 99.00 99.00 99.00 999 1019.0  23.2  23.6  19.8 99.0 99.00
